ecosystem,sha,timestamp,link
aws-samples,6f0d8fa10ba79d521f75254f978b99fdfcbc3db0,2023-06-27 21:52:38,https://github.com/aws-samples/aws-health-events-insight/commit/6f0d8fa10ba79d521f75254f978b99fdfcbc3db0
aws-samples,dffd2e1dab2808c243074414cf0b90233670a753,2019-12-02 13:52:54,https://github.com/aws-samples/amazon-rekognition-custom-labels-demo/commit/dffd2e1dab2808c243074414cf0b90233670a753
aws-samples,183cace2d0a594f891e2e1a283c0d7d3455e04b0,2022-08-11 17:14:48,https://github.com/aws-samples/amazon-codeguru-python-detectors/commit/183cace2d0a594f891e2e1a283c0d7d3455e04b0
aws-samples,97ec7c795d99c0b6043a1584a4ce44f3b8c67fa1,2023-05-12 18:21:12,https://github.com/aws-samples/serverless-java-frameworks-samples/commit/97ec7c795d99c0b6043a1584a4ce44f3b8c67fa1
aws-samples,7da759ae0b7b087f330365764b6a555b1dec0f13,2020-06-18 17:08:36,https://github.com/aws-samples/aws-serverless-workshop-innovator-island/commit/7da759ae0b7b087f330365764b6a555b1dec0f13
aws-samples,a4fa74e2b1b06944e7abff6ed1327649cae2787b,2021-04-08 21:09:20,https://github.com/aws-samples/amazon-rekognition-serverless-large-scale-image-and-video-processing/commit/a4fa74e2b1b06944e7abff6ed1327649cae2787b
aws-samples,327717033817ada13835f38cfb0c5df448be96c3,2022-07-26 16:03:54,https://github.com/aws-samples/pgp-decryption-for-transfer-family/commit/327717033817ada13835f38cfb0c5df448be96c3
aws-samples,63ed7fd2da88b3e0c10af9ff3d87bc47b26cf900,2019-11-30 19:01:20,https://github.com/aws-samples/secure-pipelines-in-aws-workshop/commit/63ed7fd2da88b3e0c10af9ff3d87bc47b26cf900
aws-samples,84a78fcbdead745773da55f2c05bce6cf8c9b700,2020-05-26 16:59:37,https://github.com/aws-samples/amazon-cloudfront-secure-static-site/commit/84a78fcbdead745773da55f2c05bce6cf8c9b700
aws-samples,60ec0f69e1f8927424fd4d887e17bb6ecb1e696d,2021-05-17 01:36:37,https://github.com/aws-samples/edge_diffusion_on_eks/commit/60ec0f69e1f8927424fd4d887e17bb6ecb1e696d
Azure-Samples,92ceaf5869fc24151a5bd499006fbcb4204bf003,2021-07-23 10:20:15,https://github.com/Azure-Samples/active-directory-b2c-dotnet-desktop/commit/92ceaf5869fc24151a5bd499006fbcb4204bf003
Azure-Samples,43909c24a5e8ef82cb955e434f487c5ee12ef0c4,2024-05-22 11:20:52,https://github.com/Azure-Samples/ARGUS/commit/43909c24a5e8ef82cb955e434f487c5ee12ef0c4
Azure-Samples,92dd80862192cd1acccb1f3dbe0bb01a95b82496,2018-03-08 18:35:26,https://github.com/Azure-Samples/eventhub-dotnet-manage-event-hub/commit/92dd80862192cd1acccb1f3dbe0bb01a95b82496
Azure-Samples,0678587b2332db690e78f66ee644519dde29b182,2023-06-05 15:58:49,https://github.com/Azure-Samples/pubsub-dapr-aks-java/commit/0678587b2332db690e78f66ee644519dde29b182
Azure-Samples,2fd73c014b86b0afb32416036a58e0bb7078be45,2021-04-26 17:33:03,https://github.com/Azure-Samples/communication-services-android-calling-hero/commit/2fd73c014b86b0afb32416036a58e0bb7078be45
Azure-Samples,289f31244c4bb5d83d7ce872c8b1dde91643ddec,2018-12-10 11:11:39,https://github.com/Azure-Samples/active-directory-dotnet-native-aspnetcore-v2/commit/289f31244c4bb5d83d7ce872c8b1dde91643ddec
Azure-Samples,edd56bd0a27dabb4d75a65242233084f7dcd7e1f,2024-06-05 14:24:28,https://github.com/Azure-Samples/ApplicationInsights-Java-Samples/commit/edd56bd0a27dabb4d75a65242233084f7dcd7e1f
Azure-Samples,9b1e99423ceede536fc0a85571e340326117045c,2021-11-03 15:23:52,https://github.com/Azure-Samples/ms-identity-docs-code-javascript/commit/9b1e99423ceede536fc0a85571e340326117045c
Azure-Samples,95975f1d50e05f516302b6c7151ae24ff41a8d70,2024-01-09 14:56:48,https://github.com/Azure-Samples/build-your-first-orleans-app-aspnetcore/commit/95975f1d50e05f516302b6c7151ae24ff41a8d70
Azure-Samples,577dd87a5fb849c4bff5e4a2f1558e205757167b,2023-06-20 20:51:40,https://github.com/Azure-Samples/ApplicationInsights-Java-Samples/commit/577dd87a5fb849c4bff5e4a2f1558e205757167b
Azure-Samples,d598f3144ac5278cf9f2fa00631f0b8269a8e395,2023-02-17 21:54:09,https://github.com/Azure-Samples/azure-functions-samples-java/commit/d598f3144ac5278cf9f2fa00631f0b8269a8e395
Azure-Samples,9781ebddabcf9a0aba42387a949365f5668b7d2d,2023-08-25 22:01:28,https://github.com/Azure-Samples/Hybrid-CSharp-Samples/commit/9781ebddabcf9a0aba42387a949365f5668b7d2d
Azure-Samples,4a32c45bc066e2ea1ecbf80e7245f7b401d3bcdf,2021-09-22 19:11:07,https://github.com/Azure-Samples/workshop-migrate-jboss-on-app-service/commit/4a32c45bc066e2ea1ecbf80e7245f7b401d3bcdf
Azure-Samples,75c39c905ae1f226622b7a6e346cc7757b8b2fea,2023-09-13 03:09:02,https://github.com/Azure-Samples/Hybrid-Golang-Samples/commit/75c39c905ae1f226622b7a6e346cc7757b8b2fea
Azure-Samples,2640581fd2610a8c48a55b22e5d711e76aaadc9e,2018-03-08 18:40:58,https://github.com/Azure-Samples/app-service-dotnet-manage-functions-with-custom-domains/commit/2640581fd2610a8c48a55b22e5d711e76aaadc9e
Azure-Samples,5beed01a165b40cbdfe94a53ddee2a18fd6de8ea,2020-11-20 15:22:00,https://github.com/Azure-Samples/digital-twins-docs-code/commit/5beed01a165b40cbdfe94a53ddee2a18fd6de8ea
Azure-Samples,2568e97799f2221e02b0276ab9a8bbbab708c32f,2019-07-27 01:49:12,https://github.com/Azure-Samples/active-directory-b2c-javascript-nodejs-webapi/commit/2568e97799f2221e02b0276ab9a8bbbab708c32f
Azure-Samples,a124ca03667c98fb6b50633815551e1ac0c3b033,2018-10-16 12:52:57,https://github.com/Azure-Samples/active-directory-dotnetcore-console-up-v2/commit/a124ca03667c98fb6b50633815551e1ac0c3b033
Azure-Samples,0fdbd21ae3fb026ed258cc09c6d0c4ab0d0b8b76,2023-09-11 17:02:48,https://github.com/Azure-Samples/ApplicationInsights-Java-Samples/commit/0fdbd21ae3fb026ed258cc09c6d0c4ab0d0b8b76
Azure-Samples,bbb86a14372e446f3467a651cd7892ad1cedd1da,2017-08-30 00:06:23,https://github.com/Azure-Samples/network-dotnet-manage-network-interface/commit/bbb86a14372e446f3467a651cd7892ad1cedd1da
Azure-Samples,494a8941d78d2dd51a90a00c9f5f735585a88241,2022-11-03 23:35:11,https://github.com/Azure-Samples/azure-search-python-samples/commit/494a8941d78d2dd51a90a00c9f5f735585a88241
Azure-Samples,4e22cefa5056cb9334c81a3e019c6907ea6b5bf1,2023-09-21 08:27:19,https://github.com/Azure-Samples/monitor-dotnet-metric-alerts-on-critical-performance/commit/4e22cefa5056cb9334c81a3e019c6907ea6b5bf1
Azure-Samples,674c0e2774b13e1660f813656ea7a3c22cf72a77,2023-06-16 05:54:14,https://github.com/Azure-Samples/communication-services-python-quickstarts/commit/674c0e2774b13e1660f813656ea7a3c22cf72a77
Azure-Samples,603e514c1fa5ad734930985e7174739a55613d5b,2022-12-06 19:24:02,https://github.com/Azure-Samples/communication-services-ui-library-maui/commit/603e514c1fa5ad734930985e7174739a55613d5b
Azure-Samples,be6cb244a8a5a0f343106c88dc23f5ab3d4f1985,2023-08-31 09:19:23,https://github.com/Azure-Samples/Hybrid-Python-Samples/commit/be6cb244a8a5a0f343106c88dc23f5ab3d4f1985
Azure-Samples,114f6f955f24fdf3fab076656914e44b22d08db4,2019-03-13 23:53:51,https://github.com/Azure-Samples/cognitive-services-python-sdk-samples/commit/114f6f955f24fdf3fab076656914e44b22d08db4
Azure-Samples,71a47a519dbc70f1b69b92bb4b6d7005865c3311,2017-04-11 19:08:36,https://github.com/Azure-Samples/app-service-dotnet-configure-deployment-sources-for-web-apps-on-linux/commit/71a47a519dbc70f1b69b92bb4b6d7005865c3311
Azure-Samples,a9dc6b6d5ece2fceb0a7518396b8440ef37ee6ce,2020-01-14 04:52:31,https://github.com/Azure-Samples/dns-dotnet-host-and-manage-your-domains/commit/a9dc6b6d5ece2fceb0a7518396b8440ef37ee6ce
Azure-Samples,cb3caef2bebca46b1144b73cbf1094c4858d3d7f,2019-08-10 10:08:46,https://github.com/Azure-Samples/network-dotnet-manage-ip-address/commit/cb3caef2bebca46b1144b73cbf1094c4858d3d7f
Azure-Samples,453e9ed1a5d7784778c6486473b4def709401f52,2024-05-17 22:48:57,https://github.com/Azure-Samples/quote-of-the-day-dotnet/commit/453e9ed1a5d7784778c6486473b4def709401f52
Azure-Samples,2040ee3bee3e3fe26f8624321765e75efdb49ea3,2024-05-09 20:12:58,https://github.com/Azure-Samples/agent-openai-python-prompty/commit/2040ee3bee3e3fe26f8624321765e75efdb49ea3
Azure-Samples,cde922ba882256691c4a8ed8846d8214dcb64833,2024-08-16 19:14:01,https://github.com/Azure-Samples/azure-search-python-samples/commit/cde922ba882256691c4a8ed8846d8214dcb64833
Azure-Samples,35a124cd61b4538f104d5a9d0212ef4f950a1eb4,2020-10-16 14:05:01,https://github.com/Azure-Samples/ms-identity-node/commit/35a124cd61b4538f104d5a9d0212ef4f950a1eb4
Azure-Samples,64b7e9a98e399f2ecff37c2ae3516b802d87c8a5,2019-08-14 03:07:45,https://github.com/Azure-Samples/app-service-dotnet-manage-storage-connections-for-web-apps-on-linux/commit/64b7e9a98e399f2ecff37c2ae3516b802d87c8a5
Azure-Samples,ee90303a9f62d600e275052ddcaad8e7423f98ad,2024-02-29 16:18:06,https://github.com/Azure-Samples/azure-openai-reverse-proxy/commit/ee90303a9f62d600e275052ddcaad8e7423f98ad
Azure-Samples,eeb08fe4aac1c6451e55c6f1d2f57e0000e32c0f,2024-05-19 12:00:50,https://github.com/Azure-Samples/agent-openai-python-prompty/commit/eeb08fe4aac1c6451e55c6f1d2f57e0000e32c0f
Azure-Samples,1208a0b17a7d8702f61ceb78897ad8542315971f,2019-07-16 01:29:43,https://github.com/Azure-Samples/azure-search-java-samples/commit/1208a0b17a7d8702f61ceb78897ad8542315971f
Azure-Samples,ef9f8bda8b703dd472ebb13c8758eee66a4f2b3e,2023-03-03 13:45:42,https://github.com/Azure-Samples/ms-identity-docs-code-javascript/commit/ef9f8bda8b703dd472ebb13c8758eee66a4f2b3e
Azure-Samples,b5206da1621cd4a0229a3583ab6836021c431844,2023-05-30 19:45:55,https://github.com/Azure-Samples/app-service-dotnet-configure-deployment-sources-for-web-apps/commit/b5206da1621cd4a0229a3583ab6836021c431844
Azure-Samples,b6ab9a98327cde475c46d7eb08fddc6d88d41f2f,2019-04-11 11:21:48,https://github.com/Azure-Samples/active-directory-b2c-dotnet-desktop/commit/b6ab9a98327cde475c46d7eb08fddc6d88d41f2f
Azure-Samples,91aa2ccbdb4ba65e33f9b02b3d0234d53dea8c47,2021-11-05 17:02:45,https://github.com/Azure-Samples/api-management-schema-import/commit/91aa2ccbdb4ba65e33f9b02b3d0234d53dea8c47
Azure-Samples,147ae2a41a1914a33a0bdeba5caef63bf2984b59,2019-08-10 10:04:00,https://github.com/Azure-Samples/app-service-dotnet-manage-data-connections-for-web-apps/commit/147ae2a41a1914a33a0bdeba5caef63bf2984b59
